name,iso3,continent,state,flag
Saint Vincent and the Grenadines,VCT,North America,Unknown,https://dl.dropboxusercontent.com/u/78944658/NoToMilTrialsMap/Flags/north-america/saint-vincent-and-the-grenadines-flag.gif
Samoa,WSM,Oceania,Unknown,https://dl.dropboxusercontent.com/u/78944658/NoToMilTrialsMap/Flags/oceania/Samoa-flag.gif
San Marino,SMR,Europe,Unknown,https://dl.dropboxusercontent.com/u/78944658/NoToMilTrialsMap/Flags/europe/San-Marino-flag.gif
Sao Tome and Principe,STP,Africa,Unknown,https://dl.dropboxusercontent.com/u/78944658/NoToMilTrialsMap/Flags/africa/Sao-Tome-and-Principe-flag.gif
Saudi Arabia,SAU,Asia,Banned By Law,https://dl.dropboxusercontent.com/u/78944658/NoToMilTrialsMap/Flags/asia/Saudi-Arabia-flag.gif
Senegal,SEN,Africa,Unknown,https://dl.dropboxusercontent.com/u/78944658/NoToMilTrialsMap/Flags/africa/Senegal-flag.gif
Serbia,SRB,Europe,Unknown,https://dl.dropboxusercontent.com/u/78944658/NoToMilTrialsMap/Flags/europe/Serbia-flag.gif
Seychelles,SYC,Africa,Unknown,https://dl.dropboxusercontent.com/u/78944658/NoToMilTrialsMap/Flags/africa/Seychelles-flag.gif
Sierra Leone,SLE,Africa,Unknown,https://dl.dropboxusercontent.com/u/78944658/NoToMilTrialsMap/Flags/africa/Sierra-Leone-flag.gif
Singapore,SGP,Asia,Unknown,https://dl.dropboxusercontent.com/u/78944658/NoToMilTrialsMap/Flags/asia/Singapore-flag.gif
Slovakia,SVK,Europe,Unknown,https://dl.dropboxusercontent.com/u/78944658/NoToMilTrialsMap/Flags/europe/Slovakia-flag.gif
Slovenia,SVN,Europe,Unknown,https://dl.dropboxusercontent.com/u/78944658/NoToMilTrialsMap/Flags/europe/Slovenia-flag.gif
Solomon Islands,SLB,Oceania,Unknown,https://dl.dropboxusercontent.com/u/78944658/NoToMilTrialsMap/Flags/oceania/solomon-islands-flag.gif
Somalia,SOM,Africa,Unknown,https://dl.dropboxusercontent.com/u/78944658/NoToMilTrialsMap/Flags/africa/Somalia-flag.gif
South Africa,ZAF,Africa,Unknown,https://dl.dropboxusercontent.com/u/78944658/NoToMilTrialsMap/Flags/africa/South-Africa-flag.gif
South Korea,KOR,Asia,Unknown,https://dl.dropboxusercontent.com/u/78944658/NoToMilTrialsMap/Flags/asia/South-Korea-flag.gif
South Sudan,SSD,Africa,Unknown,https://dl.dropboxusercontent.com/u/78944658/NoToMilTrialsMap/Flags/africa/South-Sudan-flag.gif
Spain,ESP,Europe,Permitted By Law,https://dl.dropboxusercontent.com/u/78944658/NoToMilTrialsMap/Flags/europe/Spain-flag.gif
Sri Lanka,LKA,Asia,Unknown,https://dl.dropboxusercontent.com/u/78944658/NoToMilTrialsMap/Flags/asia/Sri-Lanka-flag.gif
